mask,edge_count,edge_graph_id,equality_graph_id,r0_profile_j123,indexed_replay_key
0x0100,22,EG0603,EQ087,010,0x0100
0x0102,24,EG0131,EQ030,010,0x0102
0x0104,24,EG0626,EQ078,010,0x0104
0x0106,26,EG0074,EQ026,010,0x0106
0x0108,24,EG0352,EQ082,010,0x0108
0x010a,24,EG0403,EQ083,010,0x010a
0x010c,22,EG0406,EQ085,010,0x010c
0x010e,22,EG0355,EQ084,010,0x010e
0x0110,26,EG0076,EQ028,110,0x0110
0x0112,26,EG0130,EQ028,110,0x0112
0x0114,28,EG0127,EQ008,110,0x0114
0x0116,28,EG0073,EQ008,110,0x0116
0x0118,24,EG0727,EQ061,110,0x0118
0x011a,26,EG0402,EQ026,110,0x011a
0x011c,22,EG0752,EQ080,110,0x011c
0x011e,24,EG0354,EQ077,110,0x011e
0x0120,22,EG0612,EQ087,010,0x0120
0x0122,24,EG0149,EQ030,010,0x0122
0x0124,24,EG0636,EQ078,010,0x0124
0x0126,26,EG0092,EQ026,010,0x0126
0x0128,24,EG0369,EQ083,010,0x0128
0x012a,24,EG0419,EQ090,010,0x012a
0x012c,22,EG0422,EQ091,010,0x012c
0x012e,22,EG0372,EQ086,010,0x012e
0x0130,26,EG0094,EQ028,110,0x0130
0x0132,26,EG0148,EQ028,110,0x0132
0x0134,28,EG0145,EQ008,110,0x0134
0x0136,28,EG0091,EQ008,110,0x0136
0x0138,24,EG0732,EQ062,110,0x0138
0x013a,26,EG0418,EQ027,110,0x013a
0x013c,22,EG0760,EQ081,110,0x013c
0x013e,24,EG0371,EQ078,110,0x013e
0x0140,24,EG0095,EQ029,010,0x0140
0x0142,22,EG0888,EQ092,010,0x0142
0x0144,26,EG0146,EQ027,010,0x0144
0x0146,24,EG0859,EQ077,010,0x0146
0x0148,24,EG0369,EQ083,010,0x0148
0x014a,24,EG0419,EQ090,010,0x014a
0x014c,22,EG0422,EQ091,010,0x014c
0x014e,22,EG0372,EQ086,010,0x014e
0x0150,26,EG0094,EQ028,110,0x0150
0x0152,26,EG0148,EQ028,110,0x0152
0x0154,28,EG0145,EQ008,110,0x0154
0x0156,28,EG0091,EQ008,110,0x0156
0x0158,26,EG0368,EQ027,110,0x0158
0x015a,24,EG1016,EQ062,110,0x015a
0x015c,24,EG0421,EQ078,110,0x015c
0x015e,22,EG0992,EQ081,110,0x015e
0x0160,24,EG0077,EQ029,010,0x0160
0x0162,22,EG0881,EQ092,010,0x0162
0x0164,26,EG0128,EQ027,010,0x0164
0x0166,24,EG0854,EQ077,010,0x0166
0x0168,24,EG0352,EQ082,010,0x0168
0x016a,24,EG0403,EQ083,010,0x016a
0x016c,22,EG0406,EQ085,010,0x016c
0x016e,22,EG0355,EQ084,010,0x016e
0x0170,26,EG0076,EQ028,110,0x0170
0x0172,26,EG0130,EQ028,110,0x0172
0x0174,28,EG0127,EQ008,110,0x0174
0x0176,28,EG0073,EQ008,110,0x0176
0x0178,26,EG0351,EQ026,110,0x0178
0x017a,24,EG1007,EQ061,110,0x017a
0x017c,24,EG0405,EQ077,110,0x017c
0x017e,22,EG0983,EQ080,110,0x017e
0x0180,24,EG0167,EQ046,010,0x0180
0x0182,22,EG0897,EQ109,010,0x0182
0x0184,26,EG0164,EQ044,010,0x0184
0x0186,24,EG0895,EQ079,010,0x0186
0x0188,24,EG0436,EQ077,010,0x0188
0x018a,24,EG0436,EQ077,010,0x018a
0x018c,22,EG0439,EQ098,010,0x018c
0x018e,22,EG0439,EQ098,010,0x018e
0x0190,28,EG0022,EQ009,110,0x0190
0x0192,28,EG0022,EQ009,110,0x0192
0x0194,30,EG0019,EQ002,110,0x0194
0x0196,30,EG0019,EQ002,110,0x0196
0x0198,28,EG0297,EQ016,110,0x0198
0x019a,26,EG0949,EQ019,110,0x019a
0x019c,26,EG0300,EQ021,110,0x019c
0x019e,24,EG0952,EQ024,110,0x019e
0x01a0,26,EG0041,EQ010,010,0x01a0
0x01a2,24,EG0834,EQ036,010,0x01a2
0x01a4,28,EG0038,EQ008,010,0x01a4
0x01a6,26,EG0831,EQ028,010,0x01a6
0x01a8,26,EG0316,EQ027,010,0x01a8
0x01aa,26,EG0316,EQ027,010,0x01aa
0x01ac,24,EG0319,EQ032,010,0x01ac
0x01ae,24,EG0319,EQ032,010,0x01ae
0x01b0,26,EG0180,EQ045,110,0x01b0
0x01b2,26,EG0180,EQ045,110,0x01b2
0x01b4,28,EG0177,EQ005,110,0x01b4
0x01b6,28,EG0177,EQ005,110,0x01b6
0x01b8,26,EG0449,EQ022,110,0x01b8
0x01ba,24,EG1021,EQ058,110,0x01ba
0x01bc,24,EG0452,EQ102,110,0x01bc
0x01be,22,EG1024,EQ105,110,0x01be
0x01c0,22,EG0643,EQ107,010,0x01c0
0x01c2,24,EG0181,EQ047,010,0x01c2
0x01c4,24,EG0641,EQ079,010,0x01c4
0x01c6,26,EG0178,EQ044,010,0x01c6
0x01c8,24,EG0450,EQ078,010,0x01c8
0x01ca,24,EG0450,EQ078,010,0x01ca
0x01cc,22,EG0453,EQ103,010,0x01cc
0x01ce,22,EG0453,EQ103,010,0x01ce
0x01d0,28,EG0040,EQ009,110,0x01d0
0x01d2,28,EG0040,EQ009,110,0x01d2
0x01d4,30,EG0037,EQ002,110,0x01d4
0x01d6,30,EG0037,EQ002,110,0x01d6
0x01d8,26,EG0703,EQ020,110,0x01d8
0x01da,28,EG0315,EQ017,110,0x01da
0x01dc,24,EG0706,EQ025,110,0x01dc
0x01de,26,EG0318,EQ022,110,0x01de
0x01e0,24,EG0571,EQ033,010,0x01e0
0x01e2,26,EG0023,EQ010,010,0x01e2
0x01e4,26,EG0568,EQ028,010,0x01e4
0x01e6,28,EG0020,EQ008,010,0x01e6
0x01e8,26,EG0298,EQ026,010,0x01e8
0x01ea,26,EG0298,EQ026,010,0x01ea
0x01ec,24,EG0301,EQ031,010,0x01ec
0x01ee,24,EG0301,EQ031,010,0x01ee
0x01f0,26,EG0166,EQ045,110,0x01f0
0x01f2,26,EG0166,EQ045,110,0x01f2
0x01f4,28,EG0163,EQ005,110,0x01f4
0x01f6,28,EG0163,EQ005,110,0x01f6
0x01f8,24,EG0767,EQ055,110,0x01f8
0x01fa,26,EG0435,EQ021,110,0x01fa
0x01fc,22,EG0770,EQ100,110,0x01fc
0x01fe,24,EG0438,EQ097,110,0x01fe
0x0200,18,EG0779,EQ116,000,0x0200
0x0202,20,EG0491,EQ113,000,0x0202
0x0204,20,EG0784,EQ088,000,0x0204
0x0206,22,EG0465,EQ085,000,0x0206
0x0208,24,EG0193,EQ062,000,0x0208
0x020a,24,EG0216,EQ061,000,0x020a
0x020c,22,EG0218,EQ067,000,0x020c
0x020e,22,EG0194,EQ065,000,0x020e
0x0210,24,EG0354,EQ077,100,0x0210
0x0212,24,EG0405,EQ077,100,0x0212
0x0214,26,EG0402,EQ026,100,0x0214
0x0216,26,EG0351,EQ026,100,0x0216
0x0218,26,EG0600,EQ044,100,0x0218
0x021a,28,EG0127,EQ008,100,0x021a
0x021c,24,EG0628,EQ079,100,0x021c
0x021e,26,EG0076,EQ028,100,0x021e
0x0220,20,EG0735,EQ094,000,0x0220
0x0222,22,EG0423,EQ086,000,0x0222
0x0224,22,EG0759,EQ085,000,0x0224
0x0226,24,EG0370,EQ090,000,0x0226
0x0228,26,EG0093,EQ027,000,0x0228
0x022a,26,EG0147,EQ026,000,0x022a
0x022c,24,EG0150,EQ029,000,0x022c
0x022e,24,EG0096,EQ030,000,0x022e
0x0230,22,EG0477,EQ104,100,0x0230
0x0232,22,EG0503,EQ103,100,0x0232
0x0234,24,EG0500,EQ032,100,0x0234
0x0236,24,EG0474,EQ032,100,0x0236
0x0238,24,EG0648,EQ048,100,0x0238
0x023a,26,EG0227,EQ011,100,0x023a
0x023c,22,EG0655,EQ096,100,0x023c
0x023e,24,EG0204,EQ066,100,0x023e
0x0240,20,EG0478,EQ118,000,0x0240
0x0242,18,EG1038,EQ121,000,0x0242
0x0244,22,EG0502,EQ086,000,0x0244
0x0246,20,EG1032,EQ094,000,0x0246
0x0248,24,EG0203,EQ062,000,0x0248
0x024a,24,EG0229,EQ061,000,0x024a
0x024c,22,EG0230,EQ064,000,0x024c
0x024e,22,EG0205,EQ068,000,0x024e
0x0250,24,EG0371,EQ078,100,0x0250
0x0252,24,EG0421,EQ078,100,0x0252
0x0254,26,EG0418,EQ027,100,0x0254
0x0256,26,EG0368,EQ027,100,0x0256
0x0258,28,EG0091,EQ008,100,0x0258
0x025a,26,EG0885,EQ044,100,0x025a
0x025c,26,EG0148,EQ028,100,0x025c
0x025e,24,EG0861,EQ079,100,0x025e
0x0260,22,EG0356,EQ085,000,0x0260
0x0262,20,EG1010,EQ088,000,0x0262
0x0264,24,EG0404,EQ082,000,0x0264
0x0266,22,EG0982,EQ086,000,0x0266
0x0268,26,EG0075,EQ027,000,0x0268
0x026a,26,EG0129,EQ026,000,0x026a
0x026c,24,EG0132,EQ029,000,0x026c
0x026e,24,EG0078,EQ030,000,0x026e
0x0270,22,EG0466,EQ098,100,0x0270
0x0272,22,EG0490,EQ099,100,0x0272
0x0274,24,EG0487,EQ031,100,0x0274
0x0276,24,EG0463,EQ031,100,0x0276
0x0278,26,EG0191,EQ011,100,0x0278
0x027a,24,EG0909,EQ048,100,0x027a
0x027c,24,EG0217,EQ066,100,0x027c
0x027e,22,EG0904,EQ096,100,0x027e
0x0280,24,EG0302,EQ031,000,0x0280
0x0282,22,EG0953,EQ034,000,0x0282
0x0284,26,EG0299,EQ026,000,0x0284
0x0286,24,EG0951,EQ029,000,0x0286
0x0288,28,EG0021,EQ008,000,0x0288
0x028a,28,EG0021,EQ008,000,0x028a
0x028c,26,EG0024,EQ010,000,0x028c
0x028e,26,EG0024,EQ010,000,0x028e
0x0290,26,EG0300,EQ021,100,0x0290
0x0292,26,EG0300,EQ021,100,0x0292
0x0294,28,EG0297,EQ016,100,0x0294
0x0296,28,EG0297,EQ016,100,0x0296
0x0298,30,EG0019,EQ002,100,0x0298
0x029a,28,EG0821,EQ018,100,0x029a
0x029c,28,EG0022,EQ009,100,0x029c
0x029e,26,EG0824,EQ023,100,0x029e
0x02a0,24,EG0320,EQ032,000,0x02a0
0x02a2,22,EG0966,EQ035,000,0x02a2
0x02a4,26,EG0317,EQ027,000,0x02a4
0x02a6,24,EG0965,EQ030,000,0x02a6
0x02a8,28,EG0039,EQ008,000,0x02a8
0x02aa,28,EG0039,EQ008,000,0x02aa
0x02ac,26,EG0042,EQ010,000,0x02ac
0x02ae,26,EG0042,EQ010,000,0x02ae
0x02b0,26,EG0318,EQ022,100,0x02b0
0x02b2,26,EG0318,EQ022,100,0x02b2
0x02b4,28,EG0315,EQ017,100,0x02b4
0x02b6,28,EG0315,EQ017,100,0x02b6
0x02b8,30,EG0037,EQ002,100,0x02b8
0x02ba,28,EG0830,EQ018,100,0x02ba
0x02bc,28,EG0040,EQ009,100,0x02bc
0x02be,26,EG0833,EQ023,100,0x02be
0x02c0,22,EG0707,EQ038,000,0x02c0
0x02c2,24,EG0320,EQ032,000,0x02c2
0x02c4,24,EG0705,EQ030,000,0x02c4
0x02c6,26,EG0317,EQ027,000,0x02c6
0x02c8,28,EG0039,EQ008,000,0x02c8
0x02ca,28,EG0039,EQ008,000,0x02ca
0x02cc,26,EG0042,EQ010,000,0x02cc
0x02ce,26,EG0042,EQ010,000,0x02ce
